kelurahan,poverty_rate,unemployment_rate,water_access,electricity_access,population_density,health_access_index,education_index
Sukarasa,0.04461650042541947,0.025913245473738657,0.8139179765338233,0.9647796553422555,6910.999111416632,0.6174123977956526,0.8199280739365707
Sarijadi,0.02313072464024343,,0.8371786152710442,0.8447020311851625,14171.47067657982,0.8275897939184463,0.47782190784201617
Ledeng,0.009606295789227684,0.017873755207261786,0.7308043444648539,0.903775854332488,12942.907028340704,0.4740022512105624,
Ciwaruga,0.03652186150467052,0.026263977043216036,0.9699747970314679,0.9438516138628236,5691.881185554021,0.4917242687258191,0.5902024644509867
Hegarmanah,0.016947035141103302,0.011109841488442402,0.9247217943622493,0.9897361400296842,25926.9030888727,,
Dago,0.06252185214298907,0.020398456473098812,0.8239468773056587,0.9361887644927261,8180.916475213394,,0.6393402819761435
Sekeloa,0.018776266606000742,0.03351947229750743,0.6039160444205085,0.980454697675934,9267.410732844302,0.12371031891614653,0.6419110359640238
Lebak Gede,0.04817511746347448,0.007451516406112056,0.8994576428965532,0.9690811468769264,7273.6281123956915,0.8242442514954577,0.5151271415133307
Sadang Serang,0.05664214006146136,0.01760570947389461,0.7123663490662497,0.9783050121398393,20347.46871454284,0.6570849065475562,0.5264056783581488
Coblong,0.02281499484371526,0.0282007611253001,0.9745693612894176,0.9453064506767987,5347.808708213353,0.584401602165826,0.8143825370855717
Cipaganti Kulon,0.03126700131236735,0.0036634659657831872,0.8084617606037339,0.9701454263077562,19355.364211629374,,
Neglasari,0.04227991942930037,0.031248644513047888,0.7031744911719773,0.9082762705535548,25001.93227206312,0.8541832817963508,0.5309801083578637
Nyengseret,0.034944561429848274,0.024425969685625746,0.7392772939136882,0.9956856645277751,18440.545084588386,0.5039592429543992,0.8518908130817934
Karanganyar,0.008623227840741411,0.01367410627896195,0.8244063177345162,0.9637402774057106,20487.640693385707,0.5726234884446039,0.8347582093412496
Dunguscariang,0.023122829916309963,0.022736289896380837,0.8236846316757229,0.9969469832880471,21072.5785979415,0.5579092652448593,0.5842033000749961
Ciroyom,,0.04988255418962173,0.7123257391292005,0.7678831059037491,7557.875445602824,0.682758507455033,0.44836661875304273
Kebon Jeruk,,0.006326867879224932,,0.9871723631723855,31597.743468438293,0.4485624836999024,0.548699229705013
Garuda,0.06830928315442575,0.024389115396341154,0.8575651166504412,0.9202388412836062,10137.069663097214,0.8137117920381035,0.637795982011449
Maleber,0.06078765476377621,,0.5973531324036031,0.9497444517720179,12838.033732843094,,0.8395055070478954
Husein Sastranegara,0.02749164331326491,0.012228572382103092,0.8847464474233963,0.9930280632007905,10942.58797722614,0.8772836602271975,0.6303095151545899
Sukaraja,0.023396654262650352,0.017665861681214822,0.7611279967218254,,17942.460404932255,,0.9556698656132416
Campaka,0.01370449598774183,0.041984751016360816,0.7214796255821104,0.8991150616879635,,0.7393763548700588,0.5918301658811128
Kebonlega,0.014440925406444276,0.01824132990139187,0.7995094620514224,0.9498805317688434,13907.025659326082,0.449946759399692,0.660554351927894
Cibadak,0.02106201378360848,0.009194546379182123,0.8521131291762583,0.9877270883454597,6366.42718483899,0.8173536880173121,0.47046223797361475
Karasak,0.013838748645378974,0.009452224846486106,0.5448391515105769,0.861618617208472,26870.898104222866,0.8927589512839864,0.6543685131858197
Situ Saeur,0.025409486801096393,0.034710395905190566,0.9529228250338656,0.9238971228358276,19979.151175075323,0.1392800332737341,0.7961051229863414
Pelindung Hewan,0.05225607431240775,0.06707574317567534,0.6619026188342185,,11210.926284613968,0.8556121670977873,0.8966014651820643
Cijerah,0.03419904235055513,0.031213695835613287,0.8078851031089022,0.9217281517364565,10082.03677256848,0.5645743151430367,0.8050403109814283
Caringin,0.04315084850879712,0.032068533308351944,0.7814795147053756,0.977387637831547,19668.564858492977,0.9472531371350624,0.3266149098468923
Warung Muncang,0.020771016416396112,0.014896102952720716,0.8760044769578544,0.9444603840297475,8739.637323472733,0.550425976016208,0.5366789536209888
Babakan Tarogong,0.04286499246817744,0.007893519799393092,0.8852826988573463,,14403.394536125114,0.8047192178414989,0.37229129154609736
Babakan Surabaya,0.019703519259248924,,0.8431693127584494,0.9601511781290494,26818.28667574144,0.6995128125096605,0.49767344265697544
Kebonsari,0.030637332596707197,0.034855880276515594,0.4899159269436942,0.9518088988539878,8211.129166687791,0.5061416426249091,0.4603671884840292
Cibangkong,0.0820327251333429,0.04338348535844834,0.5966895920602575,0.955030513558235,16666.575029084393,0.7998335429238363,0.6730206905507028
Kopo,0.01916912748313673,0.017105560681636257,0.8477383142730673,0.7337975153767645,16146.121744630467,0.33232195636053935,
Suka Asih,0.03556410588674606,0.017273304512703678,0.7766640503304374,0.9993656649573424,12601.83741383032,0.7268854842745134,0.4032443698872144
Babakan,0.014339432902379946,0.009920248899824895,0.8282750684158955,0.784531111336587,9874.651021378642,0.6054821625377488,0.7814635978269433
Jamika,0.08059002668166537,0.04261190705829226,0.851654650012328,0.9739484147707642,27691.429338523736,0.8043094035888514,0.7606459215551614
Cigondewah Rahayu,0.019664839037524723,0.019171649507959833,0.8859596555858886,,9334.372359635621,0.638772556871864,0.5994933965160302
Cigondewah Kaler,,0.01442110869484045,0.9001719671610261,0.9083662261497994,4504.249931654395,0.6776224205864336,0.8483286353671341
Cigondewah Kidul,0.06765285302819227,0.018591301773414216,0.7617578131838677,0.9850552396062684,19620.302579211973,0.6884090772288177,0.8345811704448363
Gempolsari,0.04583979426014527,0.039038738059739064,0.7669239169418167,0.8656525286544101,6497.793847139059,0.5368677972877516,0.4789257486631904
Cibuntu,0.029234206829586554,0.016942529668558675,0.7582913165350661,0.9932064003206372,20234.18312150741,0.6769778925765141,0.8117198123102005
Situsaeur,0.043002080999027074,0.023784154512694132,0.8214537715783816,0.8713708361755779,29760.638649281587,0.9023502226024204,0.651022761311744
Kebon Gedang,0.0280977672179434,0.0314613840833197,0.8827414691996787,,19493.76455565893,0.6645789972497279,0.7801190865885732
Rancanumpang,0.01946362250449272,0.030762210046467692,0.8733524131720881,0.904091359986403,25408.69662286138,0.5422554175467325,0.7731538751375181
Cimincrang,0.024779750735231924,0.041238374208769205,0.9685213494689149,0.8467970896365106,44892.6545311031,0.7834272162821039,0.7718891042383372
Cisaranten Kulon,0.08148137531000452,0.013748131081370563,0.7559404263269717,0.9438450954501576,23862.328418059093,0.5152464231605457,
Cisaranten Endah,0.059921056519878044,0.029876560821943277,0.9693998944814004,0.9263552176378365,16290.60818187353,0.8741002508649224,0.5759724853917582
Cisaranten Wetan,0.03414918513697686,,,0.9686513516982302,35609.54183907402,0.8355660596861818,0.5940641024024005
Cisaranten Bina Harapan,0.030438573470187122,0.021616891088722223,0.7309548147602913,,,0.5489385043743192,0.48653770011476927
Manjahlega,0.01761547235531147,0.04627352837330196,0.5344734679608288,0.9154310462077991,38609.864119964564,0.5229581997183194,0.4445962413786397
Jatisari,0.02599092913293872,0.0461732267820813,0.7052766454968009,0.9618671485747367,9943.893179061528,0.7222003184749314,
Mekarjaya,0.03574562444871289,0.009316332391507238,0.881643788258716,0.7558874439842538,,0.8665467582095184,0.5794648903080359
Rancabolang,0.009849201830431519,0.011049758559190387,0.7900675997829908,0.965770749172208,9586.246461332319,0.7631925157553293,0.7575666819280172
Cipamokolan,0.007202923670192562,0.05528175328556102,0.8896528476398917,0.9913121412076489,20377.466163337955,0.6264396369382405,0.5327102176753017
Derwati,0.04245865856271613,0.009096887264316206,,0.9098451156611194,14698.421222943036,0.6180332482502076,0.6481497802784084
Cibiru Hilir,0.016541901884377645,0.0036334930230873205,0.6107903964483763,0.9159988018196779,11803.028250099102,0.6211414274470136,0.4998227423786495
Cisurupan,0.045115585278651546,0.007544769006704914,0.7837016581791548,0.9923139276543986,18700.187682375123,0.6758423348143395,0.6348217906207781
Palasari,0.05909290284704054,0.032166144428463495,0.9289420392319206,0.9021762726860849,5527.643928380496,0.5692833736899648,0.603714318619915
Cipadung Kulon,0.032619450774738774,0.03299158714267797,0.8466738038246056,0.9904500805886884,14540.62273430777,,0.8235070356013531
Cipadung Wetan,0.05748666849347462,,0.8135262509815517,0.9705956744149121,26136.147240911476,0.7780443287998099,0.5744716425499476
Cipadung Kidul,0.049340191099468474,0.025609869383774436,0.8513085876573976,0.9645481740234406,18575.325383892156,0.7323010795519574,0.8016214494604869
Pasir Biru,0.07198137579288948,0.008050473150747032,0.6431809653232161,0.7956480823508688,20233.31724218971,0.8277392489760442,0.6527689324604682
Pasirbiru,0.017474753833336024,0.019815274731139334,0.7359255761894054,0.7573361430673485,34836.59431276424,0.41920390899937654,0.6463353590638355
Cinambo,0.004364390993748638,0.005611945813404735,0.8035816341772755,0.9724544159707981,12839.915921796204,0.7858429918195939,0.1377135875051867
Pakemitan,0.0013030494013620015,0.021937895089186164,0.7167874337732165,0.9924653426824475,9028.53145114027,0.8299901979095751,0.6775199767163799
Sukamulya,0.044399895306332204,0.04073809804329773,0.749011313229636,0.9355363329583469,27274.542190178425,0.41209651201243486,0.7913088536610072
Cisaranten Kidul,0.026440804176728283,0.03455388943992729,0.9210105392797242,,26975.17772521168,0.8256444898335306,0.5897729969126885
Ujung Berung,0.01042006685138341,0.02160475590737266,0.5992425374800694,0.8568475771728928,18675.634864660686,0.7760423967431943,0.8388536705471062
Pasir Wangi,0.029349276123061964,0.03198597012050854,0.9419892887400421,0.9834500970418002,,0.6094147714871561,0.7586742908419575
Pasir Jati,0.01979360294566919,,0.938827812615089,0.989137463393727,13370.790464568796,0.5395520150180745,0.8262617059847903
Cigugur Tengah,0.025056892661281704,0.011446227878792226,0.9208868263836385,0.9791178564026585,6210.1245353083405,0.46298545317618084,0.5334720965802388
Antapani Kulon,0.030348528129828755,0.025180514883661787,0.5004370293890739,0.9190230638606461,26049.8663884028,0.35856512639176985,0.6867049854467431
Antapani Tengah,0.047999708641577286,0.019955633127448927,0.725265636561811,,25504.00520606941,0.8019986691417395,0.3906783192276899
Antapani Wetan,0.013553922657257644,0.015888536822369816,0.9197611111661732,0.9904010438017565,6081.400839891957,0.43105466130010583,0.5749049011971806
Antapani Kidul,0.032015826761988525,,0.9115304112630858,0.989734823955746,22484.450274077688,0.47073723838905474,0.8214997048357788
Cicaheum,0.022315888083718302,0.0009478493725259998,0.850381901097156,0.9473564779664309,,0.9191688680612541,0.4382252311261223
Sindangjaya,0.035932102011543045,0.018982305540882545,0.7572655153224459,0.9376860048205234,7235.939849193449,0.7369590052980789,0.7071855938814394
Sukapura,0.01685192164637051,0.005407660876948818,0.779639641077024,0.98240138951751,6479.508121935545,0.6731195636576569,0.48130169842350345
Ciumbuleuit,0.012267343396075131,0.04390944559362375,0.7913575564551345,0.9573193460345993,16715.571040736057,0.6531278012487683,0.4026210730809911
Padasuka,0.0363071103990767,0.02778401655330085,0.6349003847815057,0.9445206978920925,10523.61997991379,0.7951206705333466,0.7989965230376918
Pasir Kaliki,0.031377104586686605,0.014005141357793006,0.8243088636455979,0.9579165810602718,39813.81773654054,0.5436637576037315,0.7132794058682357
Arjuna,0.00600622944301369,,0.8029386191537612,0.884498002071721,23660.423500209974,0.684377848017214,0.4068563612201955
Pajajaran,0.06410058303957301,0.02504836084361381,0.8328355163501542,0.9361550438783055,17751.332846699206,0.4508873804189597,0.44442278017077214
Pamoyanan,0.04230970529593507,0.007401358815501118,0.9587064384625974,0.9807969948051507,18285.202449312063,0.9015339945813107,
Cibaduyut,0.023276289344516945,0.030817227582534946,0.7957613141681626,0.9637188228048869,29688.656274739904,0.6802257554878302,0.785902946512765
Cibaduyut Kidul,0.004452632663819094,0.0599549514543663,0.8252710879199929,0.9755632823934894,22201.40501976732,0.46283676164283977,0.5302694033289479
Cibaduyut Wetan,0.0557704372200526,0.05033243663538797,0.8253375382024271,,18031.217911744152,0.6171530345331859,0.7780337037623528
Mekarwangi,0.03286499479028378,,0.7164044203455467,0.9513620191777186,,0.7724488342303221,0.7238042315029846
Kebonlega Kidul,0.047814511486589106,0.05197273199298798,,0.9856484920914642,50000.0,0.5889999957352697,0.6357079235831861
Margasari,0.02657186838391054,0.0037874127201962477,0.8724065075832788,0.9222964767905041,6891.819073365069,0.5495248165482692,0.7844222764718899
Sekejati,0.006678688874877412,0.01801580239798125,0.9435929322092365,0.8987562560301695,11075.318552885428,0.7697948953047635,0.5135018926976336
Buah Batu,0.023966299172812785,0.010919592347372784,0.8510656157182922,,4950.099885034527,0.5862654940722986,0.6358881097970439
Jati Sari,0.038015743886610324,0.0035255829007950915,0.980804528363988,0.8491570039408884,18458.47503079088,0.8171763319329016,0.5771965222311892
Jatisari Kulon,0.006862862998880023,0.03786218853900759,0.9679934611307801,0.9649058825664308,14627.612115953158,0.6193471735278689,0.6604335972255346
Cijaura,,0.03941071136349916,0.8557678696953521,0.82641450176742,21145.150407293837,,0.6035689210970284
Margacinta,0.014199039312055925,0.040246621651941275,0.9653684706169834,0.9927106407200224,4705.844949501765,0.8487605250921367,0.4538395201258642
Mandalajati,0.04906122789906659,,0.8241954704813715,0.7573593691612793,26049.22771353351,0.8315783089847737,0.7175406864001143
Karang Pamulang,0.0261682907748339,0.026715641686798366,0.7239079217896492,0.9356064989981275,8229.979140656193,0.4158898109732938,0.8993143073039539
Jatihandap,0.04435944181260952,0.05573638376143908,0.5952218579153121,0.9509508440939279,12217.16098419623,0.710744783208603,0.7328758738508434
Sindang Jaya,0.04521624640700118,0.02077054016906363,0.9094699011382057,0.9209867693689284,23363.79220263981,0.8691071818165435,0.7218149375615389
Pasir Impun,0.0846427871280833,0.02525785258939005,0.8748841060734115,0.9471868775949287,15627.071010278194,0.7941180817551929,0.709851283661794
Karang Anyar Kota,0.06548214393490095,0.017055212870671282,0.9367549584573239,0.9535396144084802,16303.99638927762,0.6087264476356968,0.8491999380978266
