kelurahan,flood_count,landslide_count,total_disasters,avg_damage_idr
Nyengseret,3.0,1.0,3.0,
Karanganyar,2.0,1.0,4.0,1688375.8513397707
Dunguscariang,1.0,2.0,6.0,82686790.38322802
Ciroyom,6.0,3.0,6.0,
Kebon Jeruk,,1.0,1.0,129963824.44553001
Garuda,1.0,2.0,3.0,335162554.74078774
Maleber,,,4.0,125741588.32382014
Husein Sastranegara,2.0,0.0,6.0,39784976.66139014
Sukaraja,2.0,2.0,4.0,3749473.912993426
Campaka,6.0,1.0,3.0,147329705.9105959
Kebonlega,3.0,1.0,14.0,33820919.63450194
Cibadak,1.0,1.0,5.0,32589375.579571236
Karasak,3.0,2.0,4.0,51213775.98527188
Situ Saeur,4.0,0.0,5.0,1482939509.416106
Pelindung Hewan,0.0,0.0,5.0,3990795068.8801026
Cijerah,2.0,1.0,7.0,149949916.49786276
Caringin,1.0,0.0,7.0,53911219.280330606
Warung Muncang,3.0,1.0,7.0,18516270.20021738
Babakan Tarogong,5.0,0.0,2.0,218612265.6867707
Babakan Surabaya,4.0,1.0,5.0,1570026601.9773777
Kebonsari,2.0,1.0,3.0,74699908.07119022
Cibangkong,3.0,2.0,7.0,3052605.172351205
Kopo,3.0,0.0,2.0,295764624.2823873
Suka Asih,5.0,,6.0,474655372.53821844
Babakan,1.0,2.0,4.0,10031408.105047803
Jamika,4.0,0.0,8.0,141064286.2790327
Cigondewah Rahayu,0.0,0.0,5.0,213007732.15332562
Cigondewah Kaler,,1.0,1.0,97011399.19008608
Cigondewah Kidul,2.0,1.0,2.0,33060296.583080176
Gempolsari,1.0,2.0,3.0,496903219.31262606
Cibuntu,4.0,2.0,6.0,59111164.965925775
Situsaeur,5.0,1.0,8.0,11666368.297401495
Kebon Gedang,2.0,1.0,4.0,5004200.769143904
Rancanumpang,4.0,4.0,3.0,717493380.663189
Cimincrang,4.0,3.0,6.0,273003715.9804724
Cisaranten Kulon,2.0,2.0,,
Cisaranten Endah,2.0,1.0,8.0,55928690.01874375
Cisaranten Wetan,3.0,0.0,6.0,48959421.419938825
Cisaranten Bina Harapan,3.0,0.0,6.0,21560964.256611157
Manjahlega,3.0,1.0,5.0,56673457.2596184
Jatisari,4.0,2.0,4.0,4501265.67956685
Mekarjaya,5.0,,5.0,35887676.43722807
Rancabolang,4.0,0.0,5.0,67903200.40234873
Cipamokolan,4.0,,6.0,
Derwati,2.0,,11.0,101961954.333743
Cibiru Hilir,2.0,1.0,8.0,356692516.6852196
Cisurupan,5.0,0.0,7.0,819088469.7614247
Palasari,2.0,0.0,7.0,529400155.10304135
Cipadung Kulon,1.0,0.0,,
Cipadung Wetan,2.0,0.0,8.0,110198519.37245418
Cipadung Kidul,4.0,,6.0,24861176.983114876
Pasir Biru,2.0,1.0,2.0,328456864.59994817
Pasirbiru,4.0,0.0,4.0,1344947846.3928237
Cinambo,1.0,0.0,0.0,180846481.2562624
Pakemitan,3.0,,6.0,1920571668.4224453
Sukamulya,5.0,2.0,0.0,10980619.771103585
Cisaranten Kidul,4.0,1.0,7.0,19168041.07579094
Ujung Berung,1.0,1.0,9.0,390446791.90005654
Pasir Wangi,2.0,0.0,7.0,160922801.6712004
Pasir Jati,2.0,0.0,2.0,776784300.9656397
Cigugur Tengah,7.0,1.0,,105771592.4433977
Antapani Kulon,2.0,0.0,8.0,29445064.538996637
Antapani Tengah,3.0,2.0,5.0,78578614.22231828
Antapani Wetan,3.0,0.0,5.0,10864096.851185929
Antapani Kidul,6.0,2.0,6.0,19917593.415640153
Cicaheum,2.0,1.0,2.0,465520176.22929925
Sindangjaya,2.0,1.0,4.0,400883380.6708419
Sukapura,2.0,1.0,7.0,
Ciumbuleuit,1.0,1.0,,8189666.3685547225
Padasuka,3.0,2.0,6.0,63236652.56932127
Pasir Kaliki,5.0,2.0,2.0,17235817.114808187
Arjuna,4.0,1.0,8.0,632252805.4052483
Pajajaran,4.0,0.0,10.0,45101082.19574553
Pamoyanan,3.0,0.0,5.0,
Cibaduyut,2.0,0.0,4.0,113203115.75388074
Cibaduyut Kidul,4.0,0.0,4.0,41440462.42460212
Cibaduyut Wetan,3.0,1.0,,1002352791.8401221
Mekarwangi,3.0,2.0,9.0,35955177.58865482
Kebonlega Kidul,1.0,3.0,7.0,13271873.920721626
Margasari,4.0,0.0,7.0,
Sekejati,3.0,4.0,3.0,103369473.21078789
Buah Batu,1.0,1.0,8.0,46599707.82437918
Jati Sari,1.0,0.0,7.0,12694039.242087344
Jatisari Kulon,1.0,1.0,,644406110.6270993
Cijaura,2.0,2.0,5.0,294523019.04547393
Margacinta,3.0,3.0,7.0,103768517.34614947
Mandalajati,3.0,,6.0,837967073.7916071
Karang Pamulang,3.0,1.0,1.0,292449935.73254395
Jatihandap,1.0,0.0,3.0,31506869.132543523
Sindang Jaya,3.0,1.0,,22774903.272583824
Pasir Impun,,1.0,4.0,369245508.9521941
Karang Anyar Kota,1.0,2.0,3.0,196181426.5477891
