kelurahan,road_damage_ratio,drainage_quality,building_density,green_space_ratio
Sarijadi,0.4771332841901341,0.6715664399668976,0.6498500753183692,0.5382912936153169
Ledeng,0.13018424985566324,0.658366817640385,0.4917450429277723,
Ciwaruga,0.5303993887030928,0.7358974653547011,0.8255476106946372,0.1459172213255309
Hegarmanah,0.0053680844501438315,0.3861957700660608,0.8366173634148736,0.3752593412346346
Dago,,0.7500648920279529,,0.29909610009264676
Sekeloa,0.29078800334020394,0.3928367134398292,0.6179540447621612,0.3723524645882027
Lebak Gede,0.21064687555536693,0.6932301140723528,0.6079972439105384,0.26576685091936464
Sadang Serang,0.2798311894927176,0.9127566333426121,0.6384776097895787,0.028934579390890627
Coblong,0.18351478160566112,0.37006109001008364,0.6154855549551547,0.05916733175524814
Cipaganti Kulon,0.26322314115715506,0.4202386844558284,0.5884635501832044,0.16721584143053755
Neglasari,0.42006642843461334,0.4614184203432863,0.6579353961351839,0.12762667928742819
Nyengseret,0.27754244114871157,0.4618200739193631,0.7797432979766736,0.27052748796132764
Karanganyar,0.6236265478175447,0.39644034765667513,0.6533608892401669,0.08768772047082159
Dunguscariang,0.2746747326009883,0.501041323977194,0.884510804282151,0.3771647263491655
Ciroyom,0.2311756205169041,0.5405139564182202,0.5335004680809236,0.22791452357224426
Kebon Jeruk,0.7501009462025127,0.7031094899121834,0.77901724847854,0.17462772916587
Garuda,0.48770314027533535,0.7569159425537633,0.6240902155122593,0.28621117282627967
Maleber,0.38579893959303424,0.7399168421133768,0.6012396364900443,0.33762055350831083
Husein Sastranegara,0.06754745429414084,0.6154911838544103,0.7245851699783592,0.3347353664716885
Sukaraja,0.5795435339820294,0.4469130623860647,0.7393303704933292,0.31281918939689435
Campaka,0.4220781732681007,0.36572086250212704,0.7879591284580527,0.3139658585095765
Kebonlega,,0.3791194445531596,0.7202579939523802,0.09723534055990442
Cibadak,0.37370102227142177,0.4562705045625924,0.7757668272231535,0.2624734884517043
Karasak,0.13742430887514978,0.3944461190228397,0.7453099642177653,0.2500763987495676
Situ Saeur,0.5327875402080797,0.7272721029950644,0.8765037023481167,0.3918332039288349
Pelindung Hewan,0.5502437465751491,0.5771256493658922,0.7157274213694736,0.20638820363218552
Cijerah,0.45279732056725525,0.2860279500529095,0.7047447790564437,0.3720191162427811
Caringin,0.18582648585372022,0.8648289751363047,0.5644564553299274,0.3128999280154056
Warung Muncang,0.43911412045465,0.7836335161737209,0.5623807975071468,0.25884636732539995
Babakan Tarogong,0.08755286918647076,0.5123554270140237,0.45031230887376794,0.09193340038942902
Babakan Surabaya,0.30255530983062434,0.6389244421861305,0.6482442475247842,0.12586057859998856
Kebonsari,0.22692574261383391,0.8122387175900164,0.35052508188746584,0.34551021964266604
Cibangkong,0.22079468487527212,0.6266000484649851,0.30095646742873156,0.2905284128585995
Kopo,0.0932182061227306,0.5323686882625075,0.41816775864902406,0.17272320033193417
Suka Asih,0.29187932762260266,0.6157875896478474,0.8457370065058567,
Babakan,0.12935005514766454,0.4702682253020386,0.8093877598654046,0.10550649641649863
Jamika,0.19306595004172766,0.6895198535300049,0.756462791337916,
Cigondewah Rahayu,0.3841686148129105,0.6649884695785065,0.40103622672279154,0.11989543222945684
Cigondewah Kaler,0.2900182703688738,0.6907780106614899,0.5223573321916173,0.5300319031168007
Cigondewah Kidul,0.19685360478657662,0.4109864161434458,0.8035152203653881,0.6836143752989702
Gempolsari,0.1316670998839262,0.5948127662083322,0.6999729823313351,
Cibuntu,0.34576405728229137,0.6708270735662394,0.7673785611825775,0.36202642860002143
Situsaeur,0.35987407068966043,0.6471001662514732,0.7706765197271459,0.2887216234993601
Kebon Gedang,0.16974687545557585,0.6280852016639238,0.5357284816647916,0.38119290302332826
Rancanumpang,0.20723311870103758,0.6773418304819997,0.7772637832045903,0.6137092314734427
Cimincrang,0.29790504425066516,0.41422302621532253,0.8481382357356977,0.26432827262574654
Cisaranten Kulon,0.12899233875418872,0.482740431197328,,0.011303925194082522
Cisaranten Endah,0.3257121702747576,0.4633984502622723,0.5818058397447322,0.28344945651900416
Cisaranten Wetan,0.11183973069886616,0.5716682622220093,0.498412195761234,0.46156526992694435
Cisaranten Bina Harapan,0.14440003664758458,0.7750788592465498,0.7579972914293743,0.04791527888518335
Manjahlega,0.007274704741306594,0.4421466723306809,0.885667604834311,0.5457999639682499
Jatisari,0.13863910240454774,0.6112982710576819,0.513230052186209,0.5703652747434688
Mekarjaya,0.0468492653975621,0.46254951444597175,0.7354356961270561,0.39656947925574987
Rancabolang,0.20079260746707878,0.38621106758314355,0.6394833356204453,
Cipamokolan,0.17154965153338303,0.6043944616319884,0.8216906290398752,
Derwati,0.05177184339479075,0.4011103793667168,0.5597333748140529,0.12521056514413084
Cibiru Hilir,0.27036668637481137,0.589261411798475,0.8196789341354417,0.27320918861480636
Cisurupan,0.5279243840181365,0.6516093149223119,0.8237785030642647,0.10563658318561724
Palasari,0.6678969467219104,0.41272362717786104,0.5798218741932682,
Cipadung Kulon,0.06144969359913295,0.5713439431875615,0.34218978784776943,0.19170157749023237
Cipadung Wetan,0.3090567782564249,0.8438362039206162,0.7291903566567904,0.17652625314513995
Cipadung Kidul,0.3527065663574891,0.28241562848098134,0.5940727164313879,0.17393164560809654
Pasir Biru,0.4035932605761924,0.5250695658800263,0.3692156203698579,0.15002850956949446
Pasirbiru,0.21443261539524658,,0.8293320203168202,0.22190571725302324
Cinambo,0.34084369794317704,0.6473820265879044,0.6318784579398719,0.035644088793840255
Pakemitan,0.41236108761951057,0.795842779520613,0.8352637373051688,0.29849891977908416
Sukamulya,0.572435954343304,0.7777681617098762,0.7231756035449487,0.12198562915134221
Cisaranten Kidul,0.2929788735913856,0.7653476488009362,0.805716157219835,0.377377838135533
Ujung Berung,0.03928016313148427,0.6526030167655852,0.26124797501168184,0.39790297093914595
Pasir Wangi,,0.6912034572720748,0.6519610813939607,0.3957960307180189
Pasir Jati,0.3399068359357703,0.4624121292001012,0.9063599986577765,0.30598922904224235
Cigugur Tengah,0.18368118718776022,0.535278859726111,0.5341663310221206,0.2668812375580249
Antapani Kulon,0.38856627696555307,0.816052279392858,0.6749798097197341,0.4354326272278744
Antapani Tengah,0.08462733526759525,0.82818315600057,0.5216808702603234,0.310778683346731
Antapani Wetan,0.6434052833138456,0.5630089821227521,0.8783987371831019,0.3073097752184185
Antapani Kidul,0.1797050604970441,0.6383184281243338,0.5682500256359724,0.3566061018608966
Cicaheum,0.09904549474311224,0.4547956095420578,0.6300614239147702,0.5074312880035344
Sindangjaya,0.1320147770620504,0.6780244028883329,0.7120782175130026,0.5871947805751526
Sukapura,,0.3167923963537079,0.6849932605510193,0.05826000795534423
Ciumbuleuit,0.14214708714319613,0.4328147707949836,,0.37945392871984196
Padasuka,0.3203225821877145,0.6210209941149395,0.6710914528383296,0.10124569578506776
Pasir Kaliki,0.5834896095027,0.552490885434935,0.32487766957410064,0.24408069809372468
Arjuna,0.12776866366844378,0.6486522948482548,0.8385020944229126,0.10342750241147136
Pajajaran,0.5111639862554722,0.5473355755956164,0.9149119934904892,0.17311268934624024
Pamoyanan,0.40875435210312244,0.19316278116685648,0.5962504820575795,0.06266444262376429
Cibaduyut,0.04062935717394039,0.7947000888449729,0.8489140312496816,0.408853675274997
Cibaduyut Kidul,0.4384009709406226,0.5460697415364557,0.8007331741099118,
Cibaduyut Wetan,0.4435268238961161,0.5576088919835475,0.684859957982511,0.5847174830486593
Mekarwangi,0.03593019546574922,0.8227700729391229,0.771250371927454,0.399331132113665
Kebonlega Kidul,0.25996915860043185,0.7448336362150368,0.36303461254064023,0.061075545363927355
Margasari,0.2884957018176471,0.8334845442188343,0.4945780669988247,0.4650943981648647
Sekejati,0.20906870283677964,0.5835807200371144,0.7434846393302267,
Buah Batu,0.18510293303371547,0.4820733053044775,0.38586309951587405,0.276930197208092
Jati Sari,0.07187748488844417,0.7899085909778053,0.5003080743177462,0.08879686965085823
Jatisari Kulon,0.34772456456415163,0.6076626506857006,,0.5295886065409909
Cijaura,0.009063576455491072,0.49536729347853165,0.7509779451754736,0.1230497368439917
Margacinta,0.2707572855994038,0.8633053133885544,0.7798878561436594,0.15097658958990212
Mandalajati,0.2061700110820898,0.42461918612395255,0.7490495594926143,0.48108601007813256
Karang Pamulang,0.23538928965900957,0.5125569334651204,0.25533247706711726,0.18232508075598564
Jatihandap,0.3702785956345083,0.5527025689814907,0.6008657788992451,0.5086353854842558
Sindang Jaya,0.20744051778707884,0.7234889074051677,0.6108320647994766,0.2315270652872101
Pasir Impun,0.33200075489313624,0.41016831865764386,0.9161225893477268,0.17811440000763354
Karang Anyar Kota,0.24355644163812606,0.30427516687178446,0.6806570074718019,0.04347104734408379
